Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
EASTERN AV ,AT,GAMBIER ST,AUTO,CR,2015-09-24T00:00:00,THU,0.0,0.0,11343,9929,21272
GAMBIER ST,AT,EASTERN AV,AUTO,CR,2015-09-24T00:00:00,THU,2571,2757,0.0,0.0,5328
HUDSON AV,AT,WARING AV,AUTO,HW,2015-09-24T00:00:00,THU,0.0,0.0,1287,515,1802
WARING AV,AT,HUDSON AV,AUTO,HW,2015-09-24T00:00:00,THU,950,1290,0.0,0.0,2240
ST ANDREWS PL ,AT,31st ST,AUTO,HW,2015-09-29T00:00:00,TUE,0.0,0.0,1068,813,1881
31st ST,AT,ST ANDREWS PL,AUTO,HW,2015-09-29T00:00:00,TUE,142,1205,0.0,0.0,1347
CIMARRON ST,AT,JEFFERSON BL,AUTO,HW,2015-09-29T00:00:00,TUE,0.0,0.0,682,1922,2604
JEFFERSON BL,AT,CIMARRON ST,AUTO,HW,2015-09-29T00:00:00,TUE,12275,10986,0.0,0.0,23261
6th ST,AT,BIXEL ST,AUTO,CR,2015-09-30T00:00:00,WED,9943,11971,0.0,0.0,21914
6Tth ST,AT,WESTLAKE AV,AUTO,CR,2015-09-30T00:00:00,WED,10779,10720,0.0,0.0,21499
6th ST,AT,UNION AV   ( WEST INT ),AUTO,CR,2015-10-01T00:00:00,THU,10993,13126,0.0,0.0,24119
6th ST,AT,KENMORE AV,AUTO,HW,2015-10-01T00:00:00,THU,16388,21196,0.0,0.0,37584
6th ST,AT,VERMONT AV,AUTO,HW,2015-10-01T00:00:00,THU,16565,17995,0.0,0.0,34560
6th ST,AT,OCCIDENTAL BL,AUTO,CR,2015-10-01T00:00:00,THU,15415,14091,0.0,0.0,29506
PENFIELD AV,AT,VENTURA BL,MAN,WV,2015-10-01T00:00:00,THU,0.0,0.0,1130,409,1539
VENTURA BL,AT,PENFIELD AV,MAN,WV,2015-10-01T00:00:00,THU,21498,24710,0.0,0.0,46208
6th ST,AT,HIGHLAND AV,AUTO,HW,2015-10-05T00:00:00,MON,9594,10397,0.0,0.0,19991
6th ST,AT,LA BREA AV,AUTO,HW,2015-10-05T00:00:00,MON,10268,12661,0.0,0.0,22929
6th ST,AT,LA JOLLA AV,AUTO,WR,2015-10-05T00:00:00,MON,5991,4558,0.0,0.0,10549
6th ST,AT,SWEETZER AV,AUTO,WR,2015-10-05T00:00:00,MON,5209,5173,0.0,0.0,10382
6th ST,AT,NORMANDIE AV,AUTO,HW,2015-10-06T00:00:00,TUE,14780,16473,0.0,0.0,31253
6th ST,AT,WINDSOR BL,AUTO,HW,2015-10-06T00:00:00,TUE,10697,11487,0.0,0.0,22184
6th ST,AT,ROSSMORE AV,AUTO,HW,2015-10-06T00:00:00,TUE,12021,11479,0.0,0.0,23500
COLISEUM ST,AT,SYCAMORE AV,AUTO,HW,2015-10-07T00:00:00,WED,5253,2735,0.0,0.0,7988
SYCAMORE AV,AT,COLISEUM ST,AUTO,HW,2015-10-07T00:00:00,WED,0.0,0.0,911,2409,3320
COLISEUM ST,AT,ALSACE AV,AUTO,HW,2015-10-07T00:00:00,WED,4343,2207,0.0,0.0,6550
ALSACE AV,S/O,COLISEUM ST,AUTO,HW,2015-10-07T00:00:00,WED,0.0,0.0,84,116,200
LOUISE AV,AT,HART ST,MAN,WV,2015-10-07T00:00:00,WED,0.0,0.0,5248,5774,11022
HART ST,AT,LOUISE AV,MAN,WV,2015-10-07T00:00:00,WED,475,571,0.0,0.0,1046
COLISEUM ST,AT,REDONDO BL,AUTO,HW,2015-10-08T00:00:00,THU,4294,2434,0.0,0.0,6728
REDONDO BL,S/O,COLISEUM ST,AUTO,HW,2015-10-08T00:00:00,THU,0.0,0.0,58,100,158
COLISEUM ST,AT,COCHRAN AV,AUTO,HW,2015-10-08T00:00:00,THU,3649,1955,0.0,0.0,5604
COCHRAN AV,S/O,COLISEUM ST,AUTO,HW,2015-10-08T00:00:00,THU,0.0,0.0,82,94,176
EASTERN AV,AT,GAMBIER ST,MAN,CR,2015-10-08T00:00:00,THU,0.0,0.0,9835,7612,17447
GAMBIER ST,AT,EASTERN AV,MAN,CR,2015-10-08T00:00:00,THU,1351,1676,0.0,0.0,3027
COLISEUM ST,AT,BURNSIDE AV,AUTO,HW,2015-10-13T00:00:00,TUE,3916,2431,0.0,0.0,6347
BURNSIDE AV,S/O,COLISEUM ST,AUTO,HW,2015-10-13T00:00:00,TUE,0.0,0.0,52,110,162
COLISEUM ST,AT,RIDGELEY DR,AUTO,HW,2015-10-13T00:00:00,TUE,3847,2289,0.0,0.0,6136
RIDGELEY DR,S/O,COLISEUM ST,AUTO,HW,2015-10-13T00:00:00,TUE,0.0,0.0,78,99,177
OSBORNE ST / DRIVEWAY,AT,FOOTHILL BL (east intersection),MAN,EV,2015-10-13T00:00:00,TUE,0.0,0.0,106,5981,6087
FOOTHILL B (east intersection),AT,OSBORNE ST / DRIVEWAY,MAN,EV,2015-10-13T00:00:00,TUE,3887,6975,0.0,0.0,10862
WASHINGTON BL ,AT,BURNSIDE AV,AUTO,HW,2015-10-14T00:00:00,WED,13674,11960,0.0,0.0,25634
BURNSIDE AV,AT,WASHINGTON BL,AUTO,HW,2015-10-14T00:00:00,WED,0.0,0.0,542,529,1071
ST GEORGE ST,AT,MONON ST,AUTO,HW,2015-10-14T00:00:00,WED,0.0,0.0,5354,5227,10581
MASON AV,AT,SORRENTO LN,MAN,WV,2015-10-14T00:00:00,WED,0.0,0.0,3603,3666,7269
SORRENTO LN,AT,MASON AV,MAN,WV,2015-10-14T00:00:00,WED,1018,783,0.0,0.0,1801
LAGOON AV ,AT,DENNI ST,AUTO,SR,2015-10-19T00:00:00,MON,0.0,0.0,541,365,906
DENNI ST,AT,LAGOON AV,AUTO,SR,2015-10-19T00:00:00,MON,871,726,0.0,0.0,1597
BURNSIDE AV,AT,WASHINGTON BL,MAN,HW,2015-10-19T00:00:00,MON,0.0,0.0,479,778,1257
WASHINGTON BL ,AT,BURNSIDE AV,MAN,HW,2015-10-19T00:00:00,MON,12225,9306,0.0,0.0,21531
EUBANK AV,AT,DOLORES ST,AUTO,SR,2015-10-20T00:00:00,TUE,0.0,0.0,2816,2879,5695
DOLORES ST,W/O,EUBANK AV,AUTO,SR,2015-10-20T00:00:00,TUE,144,84,0.0,0.0,228
EUBANK AV,AT,PROCTOR ST,AUTO,SR,2015-10-20T00:00:00,TUE,0.0,0.0,2604,2790,5394
PROCTOR ST,W/O,EUBANK AV,AUTO,SR,2015-10-20T00:00:00,TUE,81,53,0.0,0.0,134
BUCKLER AV,AT,62nd ST,AUTO,SR,2015-10-21T00:00:00,WED,0.0,0.0,657,1167,1824
62nd ST,AT,BUCKLER AV,AUTO,SR,2015-10-21T00:00:00,WED,482,628,0.0,0.0,1110
WESTERN AV,AT,43rd ST,AUTO,SR,2015-10-21T00:00:00,WED,0.0,0.0,16772,16421,33193
43rd ST,W/O,WESTERN AV,AUTO,SR,2015-10-21T00:00:00,WED,362,366,0.0,0.0,728
SOMERSET DR ,AT,JEFFERSON BL,AUTO,HW,2015-10-22T00:00:00,THU,0.0,0.0,333,608,941
JEFFERSON BL,AT,SOMERSET DR,AUTO,HW,2015-10-22T00:00:00,THU,12225,10309,0.0,0.0,22534
DETROIT ST,AT,9th ST,AUTO,HW,2015-10-22T00:00:00,THU,0.0,0.0,699,504,1203
9th ST / JAMES M WOOD BL,AT,DETROIT ST,AUTO,HW,2015-10-22T00:00:00,THU,915,939,0.0,0.0,1854
PREUSS RD,AT,GUTHRIE AV,AUTO,HW,2015-10-27T00:00:00,TUE,0.0,0.0,663,457,1120
GUTHRIE AV,AT,PREUSS RD,AUTO,HW,2015-10-27T00:00:00,TUE,676,1324,0.0,0.0,2000
GATES ST,AT,N BROADWAY,AUTO,CR,2015-10-28T00:00:00,WED,0.0,0.0,870,256,1126
N BROADWAY,AT,GATES ST,AUTO,CR,2015-10-28T00:00:00,WED,12638,12350,0.0,0.0,24988
DU RAY PL,S/O,COLISEUM ST,AUTO,HW,2015-11-02T00:00:00,MON,0.0,0.0,243,302,545
COLISEUM ST,AT,DU RAY PL,AUTO,HW,2015-11-02T00:00:00,MON,3668,2325,0.0,0.0,5993
PARTHENIA ST,AT,ORION AV,AUTO,WV,2015-11-03T00:00:00,TUE,13694,15211,0.0,0.0,28905
PARTHENIA ST,AT,HASKELL AV,AUTO,WV,2015-11-03T00:00:00,TUE,13665,14605,0.0,0.0,28270
PARTHENIA ST,AT,WOODLEY AV,AUTO,WV,2015-11-03T00:00:00,TUE,13773,16787,0.0,0.0,30560
DORCHESTER AV,N/O,ALHAMBRA AV,AUTO,CR,2015-11-03T00:00:00,TUE,0.0,0.0,318,357,675
ALHAMBRA AV,W/O,DORCHESTER AV,AUTO,CR,2015-11-03T00:00:00,TUE,9730,9585,0.0,0.0,19315
ALHAMBRA AV,E/O,DORCHESTER AV,AUTO,CR,2015-11-03T00:00:00,TUE,9730,9716,0.0,0.0,19446
CASTALIA AV,N/O,AXTELL ST,AUTO,CR,2015-11-03T00:00:00,TUE,0.0,0.0,477,750,1227
CASTALIA AV,S/O,AXTELL ST,AUTO,CR,2015-11-03T00:00:00,TUE,0.0,0.0,451,739,1190
AXTELL ST,W/O,CASTALIA AV,AUTO,CR,2015-11-03T00:00:00,TUE,472,460,0.0,0.0,932
AXTELL ST,E/O,CASTALIA AV,AUTO,CR,2015-11-03T00:00:00,TUE,588,632,0.0,0.0,1220
ALHAMBRA AV,N/O,DRUID ST,AUTO,CR,2015-11-03T00:00:00,TUE,0.0,0.0,9073,10087,19160
ALHAMBRA AV,S/O,DRUID ST,AUTO,CR,2015-11-03T00:00:00,TUE,0.0,0.0,9315,10010,19325
DRUID ST,W/O,ALHAMBRA AV,AUTO,CR,2015-11-03T00:00:00,TUE,448,183,0.0,0.0,631
PARTHENIA ST,AT,HAYVENHURST AV,AUTO,WV,2015-11-04T00:00:00,WED,15201,17497,0.0,0.0,32698
PARTHENIA ST,AT,BALBOA BL,AUTO,WV,2015-11-04T00:00:00,WED,16932,16588,0.0,0.0,33520
PARTHENIA ST,AT,AMESTOY AV,AUTO,WV,2015-11-04T00:00:00,WED,17014,16288,0.0,0.0,33302
PARTHENIA ST,AT,ENCINO AV,AUTO,WV,2015-11-04T00:00:00,WED,17227,16864,0.0,0.0,34091
LINDLEY AV,AT,SHERMAN WAY,MAN,WV,2015-11-04T00:00:00,WED,0.0,0.0,13773,15937,29710
SHERMAN WAY,AT,LINDLEY AV,MAN,WV,2015-11-04T00:00:00,WED,19030,17700,0.0,0.0,36730
SEWARD ST,N/O,LEXINGTON AV,AUTO,HW,2015-11-04T00:00:00,WED,0.0,0.0,2086,1801,3887
SEWARD ST,S/O,LEXINGTON AV,AUTO,HW,2015-11-04T00:00:00,WED,0.0,0.0,1756,1627,3383
LEXINGTON AV,W/O,SEWARD ST,AUTO,HW,2015-11-04T00:00:00,WED,1377,1432,0.0,0.0,2809
LEXINGTON AV,E/O,SEWARD ST,AUTO,HW,2015-11-04T00:00:00,WED,323,209,0.0,0.0,532
AMELIA AV,AT,CAP[ITOL DR,MAN,SR,2015-11-04T00:00:00,WED,0.0,0.0,96,2131,2227
CAPITOL DR ,AT,AMELIA AV,MAN,SR,2015-11-04T00:00:00,WED,5043,5417,0.0,0.0,10460
OGDEN DR,N/O,SELMA AV,AUTO,HW,2015-11-04T00:00:00,WED,0.0,0.0,412,468,880
OGDEN DR,S/O,SELMA AV,AUTO,HW,2015-11-04T00:00:00,WED,0.0,0.0,419,488,907
SELMA AV,W/O,OGDEN DR,AUTO,HW,2015-11-04T00:00:00,WED,226,621,0.0,0.0,847
SELMA AV,E/O,OGDEN DR,AUTO,HW,2015-11-04T00:00:00,WED,229,675,0.0,0.0,904
HAVENHURST AV,N/O,BOSQUE DR,AUTO,WV,2015-11-04T00:00:00,WED,0.0,0.0,4081,9320,8001
HAVENHURST AV,S/O,BOSQUE DR,AUTO,WV,2015-11-04T00:00:00,WED,0.0,0.0,5268,5642,10910
BOSQUE DR,W/O,HAVENHURST AV,AUTO,WV,2015-11-04T00:00:00,WED,2228,2670,0.0,0.0,4898
BOSQUE DR,E/O,HAVENHURST AV,AUTO,WV,2015-11-04T00:00:00,WED,820,2058,0.0,0.0,2878
PIONEER AV,AT,ANAHEIM BL (BOTH),MAN,SR,2015-11-04T00:00:00,WED,0.0,0.0,322,348,670
ANAHEIM Bl (BOTH),AT,PIONEER AV,MAN,SR,2015-11-04T00:00:00,WED,11920,11087,0.0,0.0,23007
PACIFIC AV,AT,SANTA CRUZ ST,MAN,SR,2015-11-04T00:00:00,WED,0.0,0.0,8714,7160,15874
SANTA CRUZ ST,AT,PACIFIC AV,MAN,SR,2015-11-04T00:00:00,WED,458,705,0.0,0.0,1163
GAFFEY ST,AT,10th ST,MAN,SR,2015-11-04T00:00:00,WED,0.0,0.0,20666,20017,40683
10th ST,AT,GAFFEY ST,MAN,SR,2015-11-04T00:00:00,WED,1168,336,0.0,0.0,1504
MAIN ST,N/O,GAGE AV,AUTO,CR,2015-11-05T00:00:00,THU,0.0,0.0,8489,8374,16863
MAIN ST,S/O,GAGE AV,AUTO,CR,2015-11-05T00:00:00,THU,0.0,0.0,8451,8459,16910
GAGE AV,W/O,MAIN ST,AUTO,CR,2015-11-05T00:00:00,THU,15910,16143,0.0,0.0,32053
GAGE AV,E/O,MAIN ST,AUTO,CR,2015-11-05T00:00:00,THU,15720,15959,0.0,0.0,31679
RADFORD AV,N/O,STATHERN ST,AUTO,EV,2015-11-05T00:00:00,THU,0.0,0.0,345,262,607
RADFORD AV,S/O,STATHERN ST,AUTO,EV,2015-11-05T00:00:00,THU,0.0,0.0,593,531,1124
STRATHERN ST,W/O,RADFORD AV,AUTO,EV,2015-11-05T00:00:00,THU,5405,5459,0.0,0.0,10864
STRATHERN ST,E/O,RADFORD AV,AUTO,EV,2015-11-05T00:00:00,THU,5503,5580,0.0,0.0,11083
BANDINI ST,N/O,ELBERON AV,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,440,469,909
BANDINI ST,S/O,ELBERON AV,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,947,913,1860
ELBERON AV,W/O,BANDINI ST,AUTO,SR,2015-11-05T00:00:00,THU,257,172,0.0,0.0,429
ELBERON AV,E/O,BANDINI ST,AUTO,SR,2015-11-05T00:00:00,THU,422,228,0.0,0.0,650
LOS ANGELES ST,S/O,WASHINGTON BL,AUTO,CR,2015-11-05T00:00:00,THU,0.0,0.0,3916,2462,6378
WASHINGTON BL W/B,W/O,LOS ANGELES ST,AUTO,CR,2015-11-05T00:00:00,THU,14776,0.0,0.0,0.0,14776
WASHINGTON BL E/B,W/O,LOS ANGELES ST,AUTO,CR,2015-11-05T00:00:00,THU,0.0,13761,0.0,0.0,13761
WASHINGTON BL W/B,E/O,LOS ANGELES ST,AUTO,CR,2015-11-05T00:00:00,THU,13427,0.0,0.0,0.0,13427
WASHINGTON BL E/B,E/O,LOS ANGELES ST,AUTO,CR,2015-11-05T00:00:00,THU,0.0,12971,0.0,0.0,12971
AVE 63,AT,YORK BL,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,202,1206,1408
YORK BL,AT,AVE 63,MAN,CR,2015-11-05T00:00:00,THU,14105,12051,0.0,0.0,26156
HALLDALE AV,AT,SEPULVEDA BL,MAN,SR,2015-11-05T00:00:00,THU,0.0,0.0,461,0.0,461
SEPULVEDA BL,AT,HALLDALE AV,MAN,SR,2015-11-05T00:00:00,THU,24123,22485,0.0,0.0,46608
AVE 17,AT,MOZART ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,501,197,698
MOZART ST,AT,AVE 17,MAN,CR,2015-11-05T00:00:00,THU,214,85,0.0,0.0,299
AVE 26,AT,ARTESIAN ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,11804,10720,22525
ARTESIAN ST,AT,AVE 26,MAN,CR,2015-11-05T00:00:00,THU,837,388,0.0,0.0,1225
HOOVER ST,AT,43rd ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,9691,6206,15897
43rd ST,AT,HOOVER ST,MAN,CR,2015-11-05T00:00:00,THU,743,771,0.0,0.0,1514
MAOMI AV,AT,ADAMS BL,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,1208,2566,3774
ADAMS BL,AT,NAOMI AV,MAN,CR,2015-11-05T00:00:00,THU,6108,7050,0.0,0.0,13158
MONTEREY RD,AT,VIA MARISOL   (SOUTH OF AVE 60),MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,8867,6230,15097
VIA MARISOL   (S/O AVE 60),AT,MONTEREY RD,MAN,CR,2015-11-05T00:00:00,THU,3675,6094,0.0,0.0,9769
AVALON BL,AT,11th ST,MAN,SR,2015-11-05T00:00:00,THU,0.0,0.0,12027,10319,22346
11th ST,AT,AVALON BL,MAN,SR,2015-11-05T00:00:00,THU,221,1238,0.0,0.0,1459
CENTRAL AV,AT,87th PL,MAN,SR,2015-11-05T00:00:00,THU,0.0,0.0,12192,10784,22976
87th PL,AT,CENTRAL AV,MAN,SR,2015-11-05T00:00:00,THU,317,324,0.0,0.0,641
FULCHER AV,N/O,HATTERAS ST,AUTO,EV,2015-11-05T00:00:00,THU,0.0,0.0,440,188,628
FULCHER AV,S/O,HATTERAS ST,AUTO,EV,2015-11-05T00:00:00,THU,0.0,0.0,382,525,907
HATTERAS ST,W/O,FULCHER AV,AUTO,EV,2015-11-05T00:00:00,THU,888,1149,0.0,0.0,2037
HATTERAS ST,E/O,FULCHER AV,AUTO,EV,2015-11-05T00:00:00,THU,926,1107,0.0,0.0,2033
EL CENTRO AV,N/O,LA MIRADA AV,AUTO,HW,2015-11-05T00:00:00,THU,0.0,0.0,1842,1686,3528
EL CENTRO AV,S/O,LA MIRADA AV,AUTO,HW,2015-11-05T00:00:00,THU,0.0,0.0,1796,1721,3517
LA MIRADA AV,W/O,EL CENTRO AV,AUTO,HW,2015-11-05T00:00:00,THU,408,560,0.0,0.0,968
WEYMOUITH AV,N/O,SUNNYSIDE TERRACE,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,719,646,1365
WEYMOUITH AV,S/O,SUNNYSIDE TERRACE,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,587,565,1152
15th ST,W/O,WEYMOUTH AV,AUTO,SR,2015-11-05T00:00:00,THU,115,144,0.0,0.0,259
SUNNYSIDE TERRACE,E/O,WEYMOUTH AV,AUTO,SR,2015-11-05T00:00:00,THU,96,64,0.0,0.0,160
BYNNER DR,N/O,MALGREN AV,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,255,643,898
BYNNER DR,S/O,MALGREN AV,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,56,62,118
MALGREN AV,W/O,BYNNER DR,AUTO,SR,2015-11-05T00:00:00,THU,412,140,0.0,0.0,552
MALGREN AV,E/O,BYNNER DR,AUTO,SR,2015-11-05T00:00:00,THU,270,372,0.0,0.0,642
PIONEER AV,N/O,ANAHEIM ST,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,293,343,636
PIONEER AV,S/O,ANAHEIM ST,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,250,238,488
ANAHEIM ST,W/O,PIONEER AV,AUTO,SR,2015-11-05T00:00:00,THU,13721,13093,0.0,0.0,26814
ANAHEIM ST,E/O,PIONEER AV,AUTO,SR,2015-11-05T00:00:00,THU,13935,13299,0.0,0.0,27234
SANFORD AV,AT,ANAHEIM BL EAST,MAN,SR,2015-11-05T00:00:00,THU,0.0,0.0,0.0,848,848
ANAHEIM Bl EAST,AT,SANFORD AV,MAN,SR,2015-11-05T00:00:00,THU,11400,11172,0.0,0.0,22572
PACIFIC AV,N/O,SANTA CRUZ ST,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,9251,7628,16879
PACIFIC AV,S/O,SANTA CRUZ ST,AUTO,SR,2015-11-05T00:00:00,THU,0.0,0.0,8954,7423,16377
SANTA CRUZ ST,W/O,PACIFIC AV,AUTO,SR,2015-11-05T00:00:00,THU,540,811,0.0,0.0,1351
SANTA CRUZ ST,E/O,PACIFIC AV,AUTO,SR,2015-11-05T00:00:00,THU,535,849,0.0,0.0,1384
AVALON BL,AT,90th ST,MAN,CR,2015-11-05T00:00:00,THU,,,11078,8420,19498
90th ST,AT,AVALON BL,MAN,CR,2015-11-05T00:00:00,THU,486,327,0.0,0.0,813
ALAMEDA ST,AT,48th PL,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,10270,10338,20608
48th PL,AT,ALAMEDA ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,886,0.0,0.0,886
MAIN ST,AT,43rd ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,11621,9800,21421
43rd ST,AT,MAIN ST,MAN,CR,2015-11-05T00:00:00,THU,867,736,0.0,0.0,1603
BROADWAY,AT,41st ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,15545,13712,29257
41st ST,AT,BROADWAY,MAN,CR,2015-11-05T00:00:00,THU,651,418,0.0,0.0,1069
LEWIS ST,AT,MERIDIAN ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,0.0,284,284
MERIDIAN ST,AT,LEWIS ST,MAN,CR,2015-11-05T00:00:00,THU,2658,2559,0.0,0.0,5217
STADIUM WAY,N/O,ACADEMY RD   ,AUTO,CR,2015-11-05T00:00:00,THU,0.0,0.0,8199,13421,21620
ACADEMY RD   ,W/O,STADIUM WAY,AUTO,CR,2015-11-05T00:00:00,THU,13532,8636,0.0,0.0,22168
ACADEMY RD,E/O,STADIUM WAY,AUTO,CR,2015-11-05T00:00:00,THU,2742,3165,0.0,0.0,5907
FIGUEROA ST,AT,BUENA VISTA TERRACE (BOTH JOGS),MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,15120,15407,30527
BUENA VISTA TERRACE (BOTH JOGS),AT,FIGUEROA ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,216,0.0,0.0,216
AVE 53,AT,YORK BL,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,1025,484,1509
YORK BL,AT,AVE 53,MAN,CR,2015-11-05T00:00:00,THU,10530,9445,0.0,0.0,19975
AVE 19,AT,HUMBOLDT ST,MAN,CR,2015-11-05T00:00:00,THU,0.0,0.0,3677,3306,6983
HUMBOLDT ST,AT,AVE 19,MAN,CR,2015-11-05T00:00:00,THU,698,0.0,0.0,0.0,698
CENTRAL AV,AT,105th ST,MAN,SR,2015-11-15T00:00:00,SUN,0.0,0.0,13035,13353,26388
105th ST,AT,CENTRAL AV,MAN,SR,2015-11-15T00:00:00,SUN,541,270,0.0,0.0,811
HAUSER BL,N/O,BLACKWELDER ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,3427,4753,8180
HAUSER BL,S/O,BLACKWELDER ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,4752,3391,8143
BLACKWELDER ST,W/O,HAUSER BL,AUTO,HW,2015-11-10T00:00:00,TUE,308,630,0.0,0.0,938
BLACKWELDER ST,E/O,HAUSER BL,AUTO,HW,2015-11-10T00:00:00,TUE,329,692,0.0,0.0,1021
OLIVE ST,N/O,7th ST,AUTO,CR,2015-11-10T00:00:00,TUE,0.0,0.0,11977,0.0,11977
OLIVE ST,S/O,7th ST,AUTO,CR,2015-11-10T00:00:00,TUE,0.0,0.0,12191,0.0,12191
7th ST,W/O,OLIVE ST,AUTO,CR,2015-11-10T00:00:00,TUE,8869,7553,0.0,0.0,16422
7th ST,E/O ,OLIVE ST,AUTO,CR,2015-11-10T00:00:00,TUE,8521,7327,0.0,0.0,15848
SANTA FE AV,N/O,WILLOW ST,AUTO,CR,2015-11-10T00:00:00,TUE,0.0,0.0,6162,3692,9854
SANTA FE AV,S/O,WILLOW ST,AUTO,CR,2015-11-10T00:00:00,TUE,0.0,0.0,6157,3663,9820
WILLOW ST,W/O,SANTA FE AV,AUTO,CR,2015-11-10T00:00:00,TUE,595,581,0.0,0.0,1176
HI POINT ST,N/O,PICKFORD ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,377,540,917
HI POINT ST,S/O,PICKFORD ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,240,361,601
PICKFORD ST,W/O,HI POINT ST,AUTO,HW,2015-11-10T00:00:00,TUE,582,645,0.0,0.0,1227
PICKFORD ST,E/O,HI POINT ST,AUTO,HW,2015-11-10T00:00:00,TUE,594,712,0.0,0.0,1306
FAIRFAX AV,N/O,PICKFORD ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,15516,15992,31508
FAIRFAX AV,S/O,PICKFORD ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,15621,16162,31783
PICKFORD ST,W/O,FAIRFAX AV,AUTO,HW,2015-11-10T00:00:00,TUE,622,632,0.0,0.0,1254
PICKFORD ST,E/O,FAIRFAX AV,AUTO,HW,,TUE,672,515,0.0,0.0,1187
ELLSMERE AV,N/O,SATURN ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,313,556,869
ELLSMERE AV,S/O,SATURN ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,303,554,857
SATURN ST,W/O,ELLSMERE AV,AUTO,HW,2015-11-10T00:00:00,TUE,623,461,0.0,0.0,1084
SATURN ST,E/O,ELLSMERE AV,AUTO,HW,2015-11-10T00:00:00,TUE,707,537,0.0,0.0,1244
SYCAMORE AV,S/O,21st ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,174,232,406
21st ST,W/O,SYCAMORE AV,AUTO,HW,2015-11-10T00:00:00,TUE,1404,1034,0.0,0.0,2438
21st ST,E/O,SYCAMORE AV,AUTO,HW,2015-11-10T00:00:00,TUE,1397,1006,0.0,0.0,2403
MASSELIN AV,N/O,OLYMPIC BL   ,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,669,906,1575
MASSELIN AV,S/O,OLYMPIC BL   ,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,360,395,755
OLYMPIC BL,W/O,MASSELIN AV,AUTO,HW,2015-11-10T00:00:00,TUE,22412,21184,0.0,0.0,43596
OLYMPIC BL,E/O,MASSELIN AV,AUTO,HW,2015-11-10T00:00:00,TUE,22204,21226,0.0,0.0,43430
MAPLE AV,N/O,32nd ST,AUTO,CR,2015-11-10T00:00:00,TUE,0.0,0.0,2827,3159,5986
MAPLE AV,S/O,32nd ST,AUTO,CR,2015-11-10T00:00:00,TUE,0.0,0.0,2843,3167,6010
32nd ST,W/O,MAPLE AV,AUTO,CR,2015-11-10T00:00:00,TUE,799,640,0.0,0.0,1439
32nd ST,E/O,MAPLE AV,AUTO,CR,2015-11-10T00:00:00,TUE,614,573,0.0,0.0,1187
LORRAINE BL,N/O,8th ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,258,483,741
LORRAINE BL,S/O,8th ST,AUTO,HW,2015-11-10T00:00:00,TUE,0.0,0.0,463,267,730
8th ST,W/O,LORRAINE BL,AUTO,HW,2015-11-10T00:00:00,TUE,2782,2723,0.0,0.0,5505
8th ST,E/O,LORRAINE BL,AUTO,HW,2015-11-10T00:00:00,TUE,2866,3181,0.0,0.0,6047
ALHAMBRA AV,AT,DRUID ST,AMAN,CR,2015-11-10T00:00:00,TUE,0.0,0.0,9680,11651,21331
DRUID ST,AT,ALHAMBRA AV,MAN,CR,2015-11-10T00:00:00,TUE,136,230,0.0,0.0,366
LOS ANGELES ST,AT,WASHINGTON BL,MAN,CR,2015-11-10T00:00:00,TUE,0.0,0.0,5654,5248,10902
